cell_type,in_degree,out_degree,degree,out_strength,in_strength,pagerank,sm_betweenness,flow,flow_drop,reachable_pairs,pairs_lost,intact_flow,intact_reachable_pairs,impact_per_edge
JO-CM,19,90,109,9495,1189,3.81577e-05,247.998,10571,76,236740,665,10647,237405,0.697248
LgLG1b,5,51,56,41893,8042,5.24194e-05,78.9367,10608,39,236740,665,10647,237405,0.696429
GNG643,4,35,39,12391,3460,2.62698e-05,176.887,10620,27,236740,665,10647,237405,0.692308
SNch01,4,77,81,48810,6920,3.38734e-05,55.1028,10591,56,236740,665,10647,237405,0.691358
HRN_VP4,12,33,45,11222,2564,2.22199e-05,20.4944,10616,31,236740,665,10647,237405,0.688889
JO-ED2_b,15,78,93,13744,1928,4.28766e-05,308.564,10583,64,236740,665,10647,237405,0.688172
WG3,3,45,48,43819,8654,3.10412e-05,45.373,10614,33,236740,665,10647,237405,0.6875
R8p,4,12,16,48139,23433,2.59135e-05,38.2915,10636,11,236740,665,10647,237405,0.6875
aPhM1,5,27,32,6125,1647,3.77281e-05,1.0779,10625,22,236740,665,10647,237405,0.6875
SNxx09,5,11,16,2388,587,3.07281e-05,0,10636,11,236740,665,10647,237405,0.6875
ORN_VL2a,13,37,50,37300,7425,3.15696e-05,579.995,10613,34,236740,665,10647,237405,0.68
LB3b,6,19,25,2685,1232,3.469e-05,50.5915,10630,17,236740,665,10647,237405,0.68
SNxx15,14,45,59,11848,161,1.85079e-05,51.3104,10607,40,236740,665,10647,237405,0.677966
aPhM2a,12,56,68,15630,1169,2.69115e-05,184.437,10601,46,236740,665,10647,237405,0.676471
SAxx02,4,72,76,22075,2955,2.22469e-05,243.874,10596,51,236740,665,10647,237405,0.671053
BM_InOm,11,97,108,49755,7702,9.6534e-05,598.225,10575,72,236740,665,10647,237405,0.666667
BM_Vt_PoOc,7,26,33,7839,2775,3.20759e-05,116.533,10625,22,236740,665,10647,237405,0.666667
GNG644,7,23,30,3114,1150,2.06958e-05,68.3299,10627,20,236740,665,10647,237405,0.666667
R8y,4,11,15,71409,29029,2.74875e-05,6.32648,10637,10,236740,665,10647,237405,0.666667
LgLG5,4,8,12,2923,1206,3.37226e-05,0.642201,10639,8,236740,665,10647,237405,0.666667
LgLG3,11,88,99,45115,6842,5.6829e-05,157.848,10582,65,236740,665,10647,237405,0.656566
JO-A3,11,21,32,2264,309,2.2447e-05,50.2899,10626,21,236740,665,10647,237405,0.65625
ORN_DA1,11,41,52,92073,13049,4.23172e-05,113.756,10613,34,236740,665,10647,237405,0.653846
SNpp23,8,38,46,9053,278,1.98843e-05,288.877,10617,30,236740,665,10647,237405,0.652174
WG1,5,18,23,18136,6088,4.50228e-05,23.2858,10632,15,236740,665,10647,237405,0.652174
SNta14,8,35,43,10736,2877,2.53547e-05,13.0151,10619,28,236740,665,10647,237405,0.651163
claw_tpGRN,9,48,57,11722,3258,8.71089e-05,68.8448,10610,37,236740,665,10647,237405,0.649123
SNpp40,14,97,111,32316,1685,4.38215e-05,84.4596,10575,72,236740,665,10647,237405,0.648649
LgLG2,4,13,17,12896,4093,4.03458e-05,8.80442,10636,11,236740,665,10647,237405,0.647059
TRN_VP3a,9,19,28,19194,3351,3.76588e-05,220.824,10629,18,236740,665,10647,237405,0.642857
LB3d,8,34,42,7515,2448,5.3642e-05,118.544,10620,27,236740,665,10647,237405,0.642857
SNxx02,9,33,42,6941,1710,2.79384e-05,91.6551,10620,27,236740,665,10647,237405,0.642857
LgLG8,3,11,14,3169,943,3.80288e-05,11.1995,10638,9,236740,665,10647,237405,0.642857
LB3c,6,33,39,7898,2812,6.24472e-05,40.5752,10622,25,236740,665,10647,237405,0.641026
ORN_VM6v,10,23,33,24296,3937,2.62453e-05,191.671,10626,21,236740,665,10647,237405,0.636364
ENS2,15,29,44,5476,1149,3.78145e-05,32.2676,10619,28,236740,665,10647,237405,0.636364
ORN_DP1l,12,32,44,33535,8010,3.52234e-05,8.94804,10619,28,236740,665,10647,237405,0.636364
LB3a,6,24,30,3271,1177,3.10297e-05,127.663,10628,19,236740,665,10647,237405,0.633333
SNpp16,7,50,57,12027,1445,3.70583e-05,256.668,10611,36,236740,665,10647,237405,0.631579
TRN_VP1m,12,26,38,7340,3745,2.30497e-05,11.7969,10623,24,236740,665,10647,237405,0.631579
PhG9,6,29,35,8282,2435,5.88041e-05,1.09755,10625,22,236740,665,10647,237405,0.628571
BM_Hau,11,32,43,5327,1578,3.61403e-05,192.758,10620,27,236740,665,10647,237405,0.627907
JO-mz,21,53,74,6931,1052,4.75569e-05,140.066,10601,46,236740,665,10647,237405,0.621622
SNpp60,17,54,71,24422,4036,5.4845e-05,22.318,10603,44,236740,665,10647,237405,0.619718
SApp19,15,66,81,6717,1045,4.28719e-05,225.11,10597,50,236740,665,10647,237405,0.617284
ORN_DP1m,12,45,57,59067,13962,4.45567e-05,7.9407,10612,35,236740,665,10647,237405,0.614035
JO-B4_b,15,29,44,3596,615,2.8875e-05,157.903,10620,27,236740,665,10647,237405,0.613636
SNta03,10,65,75,26048,5643,7.76351e-05,155.279,10601,46,236740,665,10647,237405,0.613333
R8_unclear,4,14,18,50674,26085,2.68526e-05,35.0171,10636,11,236740,665,10647,237405,0.611111
SNxx04,13,69,82,47440,12840,0.000106042,139.919,10597,50,236740,665,10647,237405,0.609756
WG4,4,34,38,51554,19183,4.41979e-05,57.7242,10624,23,236740,665,10647,237405,0.605263
"SNta11,SNta14",10,71,81,38203,8011,4.10626e-05,103.682,10598,49,236740,665,10647,237405,0.604938
ORN_DM1,8,35,43,37046,10672,3.93339e-05,3.38338,10621,26,236740,665,10647,237405,0.604651
SAxx01,21,57,78,8381,1135,3.31903e-05,653.548,10600,47,236740,665,10647,237405,0.602564
SNxx03,8,77,85,43165,10891,6.39736e-05,172.349,10596,51,236740,665,10647,237405,0.6
JO-ED2_c,19,46,65,8051,1375,5.1081e-05,49.8539,10608,39,236740,665,10647,237405,0.6
BM_Vib,16,41,57,11600,2158,4.39433e-05,371.066,10613,34,236740,665,10647,237405,0.596491
HRN_VP1d,14,38,52,17773,7829,3.69874e-05,1.30613,10616,31,236740,665,10647,237405,0.596154
SNxx29,6,73,79,29834,4652,2.6156e-05,86.6687,10600,47,236740,665,10647,237405,0.594937
ORN_DC1,11,26,37,18671,5485,2.75442e-05,1.62286,10625,22,236740,665,10647,237405,0.594595
GNG642,7,20,27,3272,610,1.84516e-05,188.668,10631,16,236740,665,10647,237405,0.592593
SNxx11,14,35,49,8144,3454,4.4217e-05,9.66389,10618,29,236740,665,10647,237405,0.591837
ORN_DC4,15,34,49,21144,4585,2.6422e-05,3.25586,10618,29,236740,665,10647,237405,0.591837
ORN_DM2,9,13,22,17853,5647,2.86788e-05,3.3588,10634,13,236740,665,10647,237405,0.590909
SNppxx,24,344,368,48442,6768,0.000302429,391.088,10431,216,236740,665,10647,237405,0.586957
SApp23,12,34,46,8442,1163,2.95646e-05,75.984,10620,27,236740,665,10647,237405,0.586957
GNG654,10,14,24,1739,172,0.000386969,16.8896,10633,14,236740,665,10647,237405,0.583333
SNpp47,18,49,67,15056,2577,7.0436e-05,30.755,10608,39,236740,665,10647,237405,0.58209
TRN_VP2,12,19,31,6809,2610,2.36771e-05,14.5661,10629,18,236740,665,10647,237405,0.580645
aPhM2b,8,23,31,3618,442,3.61552e-05,14.1993,10629,18,236740,665,10647,237405,0.580645
LB1c,8,42,50,11089,1702,3.96513e-05,168.635,10618,29,236740,665,10647,237405,0.58
JO-CL,20,32,52,3935,1561,6.2428e-05,90.4744,10617,30,236740,665,10647,237405,0.576923
LgAG9,8,18,26,1704,155,1.90285e-05,75.3724,10632,15,236740,665,10647,237405,0.576923
ORN_VL2p,14,33,47,20516,5752,2.92801e-05,10.0693,10620,27,236740,665,10647,237405,0.574468
SNpp30,12,119,131,20434,8682,0.000144054,217.104,10572,75,236740,665,10647,237405,0.572519
SNxx33,16,187,203,33333,5099,7.68005e-05,224.673,10531,116,236740,665,10647,237405,0.571429
ORN_DL5,10,25,35,18993,5071,2.59741e-05,0.150135,10627,20,236740,665,10647,237405,0.571429
ENS3,9,12,21,816,507,5.832e-05,0.00943396,10635,12,236740,665,10647,237405,0.571429
SNpp43,10,62,72,6501,790,2.58549e-05,106.487,10606,41,236740,665,10647,237405,0.569444
PhG1c,13,47,60,8403,1846,7.62996e-05,62.0423,10613,34,236740,665,10647,237405,0.566667
SNpp41,8,45,53,5798,3931,8.41734e-05,4.74616,10617,30,236740,665,10647,237405,0.566038
SNta21,12,170,182,40698,5235,7.97147e-05,62.7587,10544,103,236740,665,10647,237405,0.565934
JO-ED1,19,36,55,6433,1732,7.1129e-05,7.68681,10616,31,236740,665,10647,237405,0.563636
SNxx25,6,62,68,13152,2576,2.16677e-05,122.624,10609,38,236740,665,10647,237405,0.558824
SNpp35,4,30,34,2379,346,1.89457e-05,1.43826,10628,19,236740,665,10647,237405,0.558824
SNpp50,8,98,106,24699,3890,0.000459168,2.66329,10588,59,236740,665,10647,237405,0.556604
WG2,10,26,36,24594,6023,4.115e-05,169.829,10627,20,236740,665,10647,237405,0.555556
LgAG3,5,31,36,5877,831,2.64246e-05,137.067,10627,20,236740,665,10647,237405,0.555556
"SApp11,SApp18",13,50,63,4753,1186,4.45315e-05,42.3344,10612,35,236740,665,10647,237405,0.555556
SNxx14,7,58,65,31766,5272,4.92088e-05,34.3703,10611,36,236740,665,10647,237405,0.553846
SNxx17,16,22,38,7450,689,2.46307e-05,0.733218,10626,21,236740,665,10647,237405,0.552632
ORN_V,11,18,29,16466,3881,2.73258e-05,1.88894,10631,16,236740,665,10647,237405,0.551724
SNta04,10,81,91,54826,10563,7.0184e-05,64.9981,10597,50,236740,665,10647,237405,0.549451
ORN_VA1v,11,20,31,41945,8684,3.77215e-05,42.3614,10630,17,236740,665,10647,237405,0.548387
JO-A1,14,17,31,1789,261,2.13405e-05,38.0653,10630,17,236740,665,10647,237405,0.548387
SNch10,11,55,66,11444,2018,4.3959e-05,29.7561,10611,36,236740,665,10647,237405,0.545455
SNxx26,11,35,46,6477,1228,3.47084e-05,32.4549,10622,25,236740,665,10647,237405,0.543478
ORN_VA2,9,37,46,32333,8940,3.57796e-05,1.5744,10622,25,236740,665,10647,237405,0.543478
LgAG5,11,24,35,4776,430,2.11619e-05,202.001,10628,19,236740,665,10647,237405,0.542857
SNpp10,7,41,48,7377,541,2.52287e-05,266.113,10621,26,236740,665,10647,237405,0.541667
PhG1b,14,23,37,4320,1651,6.29676e-05,35.4898,10627,20,236740,665,10647,237405,0.540541
HRN_VP5,12,14,26,6588,1527,2.14597e-05,202.789,10633,14,236740,665,10647,237405,0.538462
ORN_VA6,13,39,52,23691,4623,2.60666e-05,15.4329,10619,28,236740,665,10647,237405,0.538462
SNpp62,10,31,41,6826,2058,2.82008e-05,47.7735,10625,22,236740,665,10647,237405,0.536585
PhG10,11,19,30,2239,993,3.55134e-05,1.72192,10631,16,236740,665,10647,237405,0.533333
SApp01,10,39,49,3947,2373,6.16316e-05,326.942,10621,26,236740,665,10647,237405,0.530612
LgAG7,9,27,36,5056,563,2.65573e-05,53.9299,10628,19,236740,665,10647,237405,0.527778
HRN_VP1l,8,11,19,2418,1394,1.93792e-05,0,10637,10,236740,665,10647,237405,0.526316
ORN_DL2v,13,27,40,24028,4724,2.72414e-05,10.1468,10626,21,236740,665,10647,237405,0.525
LB4b,10,17,27,1405,856,3.50862e-05,86.9294,10633,14,236740,665,10647,237405,0.518519
SNxx24,8,19,27,2102,312,1.82802e-05,19.737,10633,14,236740,665,10647,237405,0.518519
"SNpp29,SNpp63",10,46,56,11927,3681,6.25767e-05,115.136,10618,29,236740,665,10647,237405,0.517857
BM_vOcci_vPoOr,12,27,39,4489,1088,2.92784e-05,281.705,10627,20,236740,665,10647,237405,0.512821
SNpp45,10,117,127,31369,4442,0.000210608,56.3857,10583,64,236740,665,10647,237405,0.503937
ORN_VC1,9,27,36,16878,4132,2.49377e-05,296.309,10629,18,236740,665,10647,237405,0.5
LB1a,6,16,22,2083,759,2.67423e-05,184.656,10636,11,236740,665,10647,237405,0.5
DNg20,16,10,26,546,1857,2.30262e-05,129.942,10634,13,237048,357,10647,237405,0.5
ORN_VL1,14,18,32,18121,3588,2.53893e-05,26.0539,10631,16,236740,665,10647,237405,0.5
ORN_VM4,10,14,24,8306,1830,2.04764e-05,13.9,10635,12,236740,665,10647,237405,0.5
ORN_DL2d,14,24,38,16025,3366,2.51933e-05,7.59028,10628,19,236740,665,10647,237405,0.5
PhG6,8,12,20,1434,786,2.90991e-05,5.8031,10637,10,236740,665,10647,237405,0.5
R8d,2,4,6,9002,6512,2.11476e-05,1.86193,10644,3,236740,665,10647,237405,0.5
ORN_VM7d,11,25,36,20571,4499,2.61542e-05,0.759731,10629,18,236740,665,10647,237405,0.5
SNpp33,5,74,79,6851,904,2.37451e-05,30.2151,10608,39,236740,665,10647,237405,0.493671
SNta29,14,302,316,115297,11030,8.14398e-05,54.208,10492,155,236740,665,10647,237405,0.490506
ORN_D,14,33,47,23649,7188,3.0537e-05,1.63662,10624,23,236740,665,10647,237405,0.489362
LB1e,8,33,41,4835,1690,4.00269e-05,17.0494,10627,20,236740,665,10647,237405,0.487805
SNta18,11,63,74,31271,5411,4.53058e-05,29.6775,10611,36,236740,665,10647,237405,0.486486
SNta38,12,163,175,45254,7022,5.91422e-05,40.1799,10562,85,236740,665,10647,237405,0.485714
SNpp52,16,159,175,17461,2179,0.000282102,36.8254,10562,85,236740,665,10647,237405,0.485714
SNta11,12,85,97,42049,9925,4.8398e-05,84.0535,10600,47,236740,665,10647,237405,0.484536
ORN_VA1d,12,19,31,27321,5715,3.14601e-05,36.5654,10632,15,236740,665,10647,237405,0.483871
SNpp57,14,17,31,4274,951,5.46568e-05,7.96344,10632,15,236740,665,10647,237405,0.483871
SApp04,16,100,116,10559,1462,3.67099e-05,398.241,10591,56,236740,665,10647,237405,0.482759
ENS4,28,30,58,2868,135,2.1205e-05,26.3196,10619,28,236740,665,10647,237405,0.482759
ENS1,11,14,25,2311,403,2.91635e-05,46.2667,10635,12,236740,665,10647,237405,0.48
PhG13,7,18,25,3096,446,2.25879e-05,25.1156,10635,12,236740,665,10647,237405,0.48
SApp14,14,53,67,4660,262,2.30872e-05,176.128,10615,32,236740,665,10647,237405,0.477612
LgLG4,5,29,34,6429,2437,8.10952e-05,85.9184,10631,16,236740,665,10647,237405,0.470588
HBeyelet,7,10,17,3085,221,1.80424e-05,0.189126,10639,8,236740,665,10647,237405,0.470588
LB1b,6,26,32,4461,777,2.67204e-05,31.8458,10632,15,236740,665,10647,237405,0.46875
SNpp58,17,30,47,8085,947,2.75861e-05,48.795,10625,22,236740,665,10647,237405,0.468085
LgLG7,5,10,15,2420,849,3.29335e-05,0.0512362,10640,7,236740,665,10647,237405,0.466667
SNpp51,11,90,101,11164,1802,0.000167328,7.39903,10600,47,236740,665,10647,237405,0.465347
SNxx30,3,40,43,1543,956,2.95011e-05,0.47816,10627,20,236740,665,10647,237405,0.465116
SNpp07,16,53,69,6040,333,2.1765e-05,108.259,10615,32,236740,665,10647,237405,0.463768
SNpp21,7,17,24,2465,343,2.55892e-05,75.1492,10636,11,236740,665,10647,237405,0.458333
ORN_VM7v,11,13,24,7832,1927,2.07059e-05,10.7387,10636,11,236740,665,10647,237405,0.458333
"SNta02,SNta09",9,85,94,97048,17426,0.000129278,195.464,10604,43,236740,665,10647,237405,0.457447
ORN_VM5d,9,26,35,28314,5196,2.76846e-05,0.487632,10631,16,236740,665,10647,237405,0.457143
SNpp32,13,79,92,18098,4101,4.56359e-05,146.929,10605,42,236740,665,10647,237405,0.456522
SNta25,15,100,115,25514,4750,4.64036e-05,36.7776,10595,52,236740,665,10647,237405,0.452174
ORN_VC5,11,20,31,17313,3183,2.31669e-05,82.8128,10633,14,236740,665,10647,237405,0.451613
PhG4,4,27,31,4970,1040,3.11237e-05,32.1382,10633,14,236740,665,10647,237405,0.451613
LgAG2,10,30,40,5294,3080,8.6254e-05,249.55,10629,18,236740,665,10647,237405,0.45
SApp13,20,49,69,4860,455,5.13341e-05,342.517,10616,31,236740,665,10647,237405,0.449275
SNxx19,18,31,49,7586,599,3.20546e-05,175.2,10625,22,236740,665,10647,237405,0.44898
SNxx06,8,21,29,4789,1126,2.80006e-05,40.727,10634,13,236740,665,10647,237405,0.448276
ORN_DC2,8,19,27,9263,3012,2.25001e-05,0.0402427,10635,12,236740,665,10647,237405,0.444444
JO-B1_a,23,20,43,3057,1877,5.90779e-05,32.0613,10628,19,236740,665,10647,237405,0.44186
SNxx21,18,32,50,6772,445,2.04488e-05,137.631,10625,22,236740,665,10647,237405,0.44
SNta30,14,107,121,21487,4460,4.4962e-05,434.953,10594,53,236740,665,10647,237405,0.438017
DNg83,9,7,16,671,1215,2.148e-05,60.7508,10640,7,237048,357,10647,237405,0.4375
SNpp06,4,28,32,2697,1202,3.11447e-05,9.75067,10633,14,236740,665,10647,237405,0.4375
SNta37,15,230,245,110837,13609,0.000109196,407.067,10540,107,236740,665,10647,237405,0.436735
SNpp05,15,24,39,2974,325,3.16896e-05,46.2124,10630,17,236740,665,10647,237405,0.435897
LN-DN1,7,16,23,2632,946,1.89187e-05,159.347,10637,10,236740,665,10647,237405,0.434783
ORN_DM4,10,13,23,6417,2839,2.28122e-05,0,10637,10,236740,665,10647,237405,0.434783
SNpp15,11,19,30,2255,684,2.15485e-05,64.9893,10634,13,236740,665,10647,237405,0.433333
ORN_DA2,13,17,30,8449,2501,2.17152e-05,0,10634,13,236740,665,10647,237405,0.433333
JO-B3,26,25,51,2025,1119,3.64883e-05,73.4585,10625,22,236740,665,10647,237405,0.431373
SNpp02,20,36,56,12798,2074,5.44951e-05,40.7819,10623,24,236740,665,10647,237405,0.428571
SNxx28,15,25,40,3483,613,2.63868e-05,163.594,10630,17,236740,665,10647,237405,0.425
ORN_VM5v,15,25,40,15827,4321,2.60974e-05,13.1297,10630,17,236740,665,10647,237405,0.425
BM_MaPa,15,18,33,1980,710,2.68e-05,66.6169,10633,14,236740,665,10647,237405,0.424242
PhG14,9,24,33,1781,420,2.3585e-05,37.2569,10633,14,236740,665,10647,237405,0.424242
ORN_DL1,11,15,26,23526,5397,2.84181e-05,3.55412,10636,11,236740,665,10647,237405,0.423077
SNta13,8,37,45,8233,3810,3.59509e-05,49.677,10628,19,236740,665,10647,237405,0.422222
"SNta04,SNta11",10,59,69,24673,7136,3.69972e-05,23.2796,10618,29,236740,665,10647,237405,0.42029
PhG16,11,20,31,1417,393,2.40903e-05,40.6786,10634,13,236740,665,10647,237405,0.419355
SNpp37,7,22,29,3227,520,3.27396e-05,9.48784,10635,12,236740,665,10647,237405,0.413793
SNta31,12,68,80,16756,3743,5.4924e-05,139.869,10614,33,236740,665,10647,237405,0.4125
LB4a,8,14,22,1227,612,3.20747e-05,17.7106,10638,9,236740,665,10647,237405,0.409091
PhG3,7,15,22,1600,626,2.53832e-05,4.6936,10638,9,236740,665,10647,237405,0.409091
SApp21,9,13,22,549,855,6.07026e-05,0.161029,10638,9,236740,665,10647,237405,0.409091
SNta20,16,185,201,72499,8370,5.75046e-05,249.353,10565,82,236740,665,10647,237405,0.40796
SNpp18,13,19,32,6177,1914,8.61115e-05,12.7803,10634,13,236740,665,10647,237405,0.40625
SNpp12,16,21,37,2622,682,2.42033e-05,57.512,10632,15,236740,665,10647,237405,0.405405
SNpp11,14,26,40,1555,486,9.08971e-05,99.6836,10631,16,236740,665,10647,237405,0.4
SNpp56,15,20,35,4695,669,2.60438e-05,25.2608,10633,14,236740,665,10647,237405,0.4
ORN_VC4,13,17,30,8601,3247,2.34336e-05,0.576994,10635,12,236740,665,10647,237405,0.4
b2 MN,30,0,30,0,15084,0.000496816,0,10635,12,237048,357,10647,237405,0.4
SNpp31,11,32,43,3046,1140,2.66122e-05,23.9258,10630,17,236740,665,10647,237405,0.395349
LgAG8,10,23,33,1582,412,2.21155e-05,34.8348,10634,13,236740,665,10647,237405,0.393939
LgAG6,7,16,23,1109,546,2.66801e-05,1.08159,10638,9,236740,665,10647,237405,0.391304
tpn MN,23,0,23,0,11966,0.000346992,0,10638,9,237048,357,10647,237405,0.391304
ALBN1,19,22,41,2727,12986,3.32098e-05,197.265,10631,16,237405,0,10647,237405,0.390244
ENS5,21,20,41,1757,135,2.24861e-05,144.127,10631,16,236740,665,10647,237405,0.390244
dorsal_tpGRN,15,26,41,5407,699,3.90324e-05,16.5855,10631,16,236740,665,10647,237405,0.390244
ORN_DL3,9,9,18,10931,1422,2.04884e-05,85.1669,10640,7,236740,665,10647,237405,0.388889
JO-B2,19,17,36,1543,691,4.30442e-05,12.5723,10633,14,236740,665,10647,237405,0.388889
SNta26,14,58,72,10521,2226,3.2498e-05,11.3891,10619,28,236740,665,10647,237405,0.388889
SNta33,18,52,70,15610,4166,4.39378e-05,307.847,10620,27,236740,665,10647,237405,0.385714
ORN_DM6,10,16,26,16765,4507,2.61787e-05,6.86293,10637,10,236740,665,10647,237405,0.384615
ORN_VA3,12,14,26,7341,3503,2.48177e-05,1.63272,10637,10,236740,665,10647,237405,0.384615
ORN_DA3,7,6,13,1424,742,1.89824e-05,0.0212766,10642,5,236740,665,10647,237405,0.384615
DNx01,20,27,47,3602,2370,0.000198171,242.47,10629,18,236740,665,10647,237405,0.382979
PhG1a,9,12,21,2954,1578,5.83367e-05,0,10639,8,236740,665,10647,237405,0.380952
JO-B1_c,20,17,37,1887,1253,4.22971e-05,10.8723,10633,14,236740,665,10647,237405,0.378378
SNpp17,12,33,45,2459,1306,0.000315288,681.851,10630,17,236075,1330,10647,237405,0.377778
SNpp01,14,31,45,6673,1252,4.32889e-05,112.139,10630,17,236740,665,10647,237405,0.377778
PhG8,13,27,40,3876,567,2.53893e-05,331.21,10632,15,236740,665,10647,237405,0.375
JO-B4_a,15,9,24,675,359,2.40191e-05,17.4499,10638,9,236740,665,10647,237405,0.375
JO-CA2,22,21,43,2268,1411,3.72088e-05,32.4631,10631,16,236740,665,10647,237405,0.372093
SNta28,16,108,124,28709,4327,5.44384e-05,349.456,10601,46,236740,665,10647,237405,0.370968
ORN_DM3,8,11,19,5755,2502,2.28452e-05,1.9673,10640,7,236740,665,10647,237405,0.368421
