type_a,type_b,impact_a,impact_b,flow_after,joint_impact,synergy
SNpp52,"SNta02,SNta09",85,43,10517,130,2
"SNta11,SNta14",SNpp30,49,75,10521,126,2
"SApp06,SApp15",SApp01,97,26,10522,125,2
SNpp50,SNpp45,59,64,10522,125,2
BM_Taste,BM_Hau,92,27,10526,121,2
JO-ED2_a,JO-EV6,56,62,10527,120,2
SNpp30,SNpp33,75,39,10531,116,2
SNpp50,SNta30,59,53,10533,114,2
SNta20,SNta26,82,28,10535,112,2
BM_Taste,BM_MaPa,92,14,10539,108,2
BM,BM_Vt_PoOc,84,22,10539,108,2
SNpp50,SNta28,59,46,10540,107,2
SNta25,SNta30,52,53,10540,107,2
SNpp52,DNx01,85,18,10542,105,2
SApp23,SNpp30,27,75,10543,104,2
GNG643,BM_InOm,27,72,10546,101,2
BM_InOm,BM_Hau,72,27,10546,101,2
"SNta11,SNta14",SNta04,49,50,10546,101,2
WG4,SNpp30,23,75,10547,100,2
SNta25,SNta28,52,46,10547,100,2
"SNta11,SNta14",SNta11,49,47,10549,98,2
BM_InOm,BM_Vt_PoOc,72,22,10551,96,2
BM_InOm,BM_vOcci_vPoOr,72,20,10553,94,2
SNpp30,SNpp01,75,17,10553,94,2
SNpp30,SNpp06,75,14,10556,91,2
SNpp30,SNpp18,75,13,10557,90,2
BM_InOm,BM_MaPa,72,14,10559,88,2
SNta30,SNta26,53,28,10564,83,2
"SNta11,SNta14","SNta04,SNta11",49,29,10567,80,2
SNta04,SNta33,50,27,10568,79,2
SNpp35,SApp04,19,56,10570,77,2
SApp19,SNpp35,50,19,10576,71,2
"SApp11,SApp18",SNpp07,35,32,10578,69,2
SApp01,SNpp07,26,32,10587,60,2
"SNta04,SNta11",SNta33,29,27,10589,58,2
SNpp35,"SApp11,SApp18",19,35,10591,56,2
SNpp35,SApp14,19,32,10594,53,2
SNpp35,SApp13,19,31,10595,52,2
SNpp35,SApp01,19,26,10600,47,2
LB1c,LB1b,29,15,10601,46,2
LB1c,PhG8,29,15,10601,46,2
BM_Hau,BM_MaPa,27,14,10604,43,2
SNpp10,SNpp06,26,14,10605,42,2
PhG1b,dorsal_tpGRN,20,16,10609,38,2
LgAG3,PhG8,20,15,10610,37,2
DNx01,SNpp17,18,17,10610,37,2
LgAG3,PhG14,20,14,10611,36,2
PhG1b,PhG4,20,14,10611,36,2
LgAG3,PhG13,20,12,10613,34,2
SNpp06,SNpp17,14,17,10614,33,2
LB1b,PhG8,15,15,10615,32,2
PhG14,PhG8,14,15,10616,31,2
SNpp06,SNpp37,14,12,10619,28,2
PhG3,dorsal_tpGRN,9,16,10620,27,2
PhG4,PhG3,14,9,10622,25,2
SApp,SNpp19,310,97,10239,408,1
SApp,SNta04,310,50,10286,361,1
SApp,"SNta04,SNta11",310,29,10307,340,1
SApp,SNta33,310,27,10309,338,1
"SApp09,SApp22",SApp10,164,166,10316,331,1
SNpp19,SNppxx,97,216,10333,314,1
BM,SNppxx,84,216,10346,301,1
SNppxx,SNpp30,216,75,10355,292,1
BM_InOm,SNppxx,72,216,10358,289,1
LgLG3,SNppxx,65,216,10365,282,1
SAxx02,SNppxx,51,216,10379,268,1
SNpp19,SApp10,97,166,10383,264,1
"SApp09,SApp22",SNpp19,164,97,10385,262,1
SNppxx,"SNta02,SNta09",216,43,10387,260,1
LgLG1b,SNppxx,39,216,10391,256,1
SNpp19,SNta29,97,155,10394,253,1
JO-EV1,SApp10,84,166,10396,251,1
SNppxx,SNta31,216,33,10397,250,1
SNta14,SNppxx,28,216,10402,245,1
SNppxx,SNta33,216,27,10403,244,1
SApp10,JO-CM,166,76,10404,243,1
"SApp09,SApp22",SNpp30,164,75,10407,240,1
WG4,SNppxx,23,216,10407,240,1
SNppxx,WG2,216,20,10410,237,1
SNppxx,SNxx30,216,20,10410,237,1
SNppxx,DNx01,216,18,10412,235,1
SApp10,JO-EV6,166,62,10418,229,1
BM_InOm,SNta29,72,155,10419,228,1
SNpp40,SNta29,72,155,10419,228,1
JO-ED2_a,SApp10,56,166,10424,223,1
SApp10,SNta04,166,50,10430,217,1
"SApp09,SApp22",SApp19,164,50,10432,215,1
"SApp09,SApp22",SNta04,164,50,10432,215,1
JO-FV,SNta29,55,155,10436,211,1
SApp08,SNpp19,112,97,10437,210,1
SAxx02,SNta29,51,155,10440,207,1
SNxx03,SNta29,51,155,10440,207,1
"SApp09,SApp22","SApp11,SApp18",164,35,10447,200,1
LgAG1,SNta29,44,155,10447,200,1
LgLG1a,SNta29,41,155,10450,197,1
SNpp43,SNta29,41,155,10450,197,1
SApp10,"SNta04,SNta11",166,29,10451,196,1
LgLG1b,SNta29,39,155,10452,195,1
"SApp09,SApp22","SNta04,SNta11",164,29,10453,194,1
SApp10,SNta33,166,27,10453,194,1
"SApp09,SApp22",SNta33,164,27,10455,192,1
SNxx14,SNta29,36,155,10455,192,1
BM_Vib,SNta29,34,155,10457,190,1
"SApp09,SApp22",SNpp35,164,19,10463,184,1
SNpp19,SNta38,97,85,10464,183,1
LgLG3,SNxx33,65,116,10465,182,1
SApp10,SNpp21,166,11,10469,178,1
SNpp40,SNta21,72,103,10471,176,1
SNxx33,SNpp50,116,59,10471,176,1
SNta29,SNxx30,155,20,10471,176,1
SNta38,SNpp52,85,85,10476,171,1
BM,SNpp52,84,85,10477,170,1
SNxx33,SNta25,116,52,10478,169,1
SApp08,SApp19,112,50,10484,163,1
SNpp19,SNpp45,97,64,10485,162,1
LgAG1,SNxx33,44,116,10486,161,1
SNpp60,SNxx33,44,116,10486,161,1
SAxx02,SNta37,51,107,10488,159,1
SNxx03,SNta37,51,107,10488,159,1
LgLG1a,SNxx33,41,116,10489,158,1
BM_InOm,SNpp52,72,85,10489,158,1
"SNta11,SNta14",SNta37,49,107,10490,157,1
JO-EV3,JO-ED2_b,91,64,10491,156,1
SNpp51,SNta37,47,107,10492,155,1
SNpp19,SApp04,97,56,10493,154,1
"SApp06,SApp15",SApp04,97,56,10493,154,1
LgAG1,SNta37,44,107,10495,152,1
SNta21,SNta28,103,46,10497,150,1
LgLG1a,SNta37,41,107,10498,149,1
JO-EV3,JO-ED2_a,91,56,10499,148,1
SApp08,"SApp11,SApp18",112,35,10499,148,1
SNpp19,SApp19,97,50,10499,148,1
"SApp06,SApp15",SApp19,97,50,10499,148,1
"SApp06,SApp15",SNta04,97,50,10499,148,1
SNpp60,SNta21,44,103,10499,148,1
LgLG1b,SNta37,39,107,10500,147,1
JO-EV3,JO-EV5,91,54,10501,146,1
SApp08,SApp14,112,32,10502,145,1
SNpp43,SNta21,41,103,10502,145,1
SApp08,SApp13,112,31,10503,144,1
SNxx14,SNta37,36,107,10503,144,1
SNpp39,SNpp52,56,85,10505,142,1
JO-FV,BM,55,84,10507,140,1
SNpp30,SNpp45,75,64,10507,140,1
BM_Taste,aPhM2a,92,46,10508,139,1
SApp08,SApp01,112,26,10508,139,1
SNpp39,SNta20,56,82,10508,139,1
SNpp52,SNta30,85,53,10508,139,1
SAxx02,SNpp52,51,85,10510,137,1
BM,SNxx04,84,50,10512,135,1
BM,SNta04,84,50,10512,135,1
SNta25,SNta20,52,82,10512,135,1
BM,"SNta11,SNta14",84,49,10513,134,1
SAxx02,SNta20,51,82,10513,134,1
TPMN1,BM_Taste,40,92,10514,133,1
SNta04,SNta20,50,82,10514,133,1
BM,SNta11,84,47,10515,132,1
SNta03,SNta38,46,85,10515,132,1
"SNta11,SNta14",SNta20,49,82,10515,132,1
SNta21,SNta26,103,28,10515,132,1
SNpp52,SNta28,85,46,10515,132,1
BM_Taste,claw_tpGRN,92,37,10517,130,1
SNta11,SNta20,47,82,10517,130,1
SNpp51,SNta20,47,82,10517,130,1
SNpp19,SApp13,97,31,10518,129,1
"SApp06,SApp15",SApp13,97,31,10518,129,1
JO-FV,BM_InOm,55,72,10519,128,1
BM,"SNta02,SNta09",84,43,10519,128,1
BM_Taste,BM_Vib,92,34,10520,127,1
"SApp06,SApp15","SNta04,SNta11",97,29,10520,127,1
LgAG1,SNta20,44,82,10520,127,1
SNpp43,SNta38,41,85,10520,127,1
SNpp30,SNta04,75,50,10521,126,1
"SApp06,SApp15",SNta33,97,27,10522,125,1
LgLG1b,SNpp52,39,85,10522,125,1
SNpp33,SNpp52,39,85,10522,125,1
SApp08,SNpp21,112,11,10523,124,1
LgLG1a,SNta20,41,82,10523,124,1
BM_InOm,SNta04,72,50,10524,123,1
LgLG1b,SNta20,39,82,10525,122,1
BM_InOm,"SNta11,SNta14",72,49,10525,122,1
JO-ED2_a,JO-ED2_b,56,64,10526,121,1
BM_Taste,GNG643,92,27,10527,120,1
BM_Taste,LB3d,92,27,10527,120,1
BM_InOm,SNta11,72,47,10527,120,1
JO-EV5,JO-ED2_b,54,64,10528,119,1
BM,BM_Vib,84,34,10528,119,1
SNpp30,"SNta02,SNta09",75,43,10528,119,1
SNpp52,SNta31,85,33,10528,119,1
SNpp30,SNpp32,75,42,10529,118,1
SNpp45,SNta30,64,53,10529,118,1
SNpp19,SNpp35,97,19,10530,117,1
SNpp30,SNpp43,75,41,10530,117,1
SNpp45,SNta25,64,52,10530,117,1
SNpp39,SNpp50,56,59,10531,116,1
SAxx02,SNpp45,51,64,10531,116,1
BM_InOm,"SNta02,SNta09",72,43,10531,116,1
BM,"SNta04,SNta11",84,29,10533,114,1
SNta14,SNpp52,28,85,10533,114,1
BM_Taste,BM_vOcci_vPoOr,92,20,10534,113,1
BM,SNta14,84,28,10534,113,1
SNpp52,SNta33,85,27,10534,113,1
BM,GNG643,84,27,10535,112,1
BM,SNta33,84,27,10535,112,1
SNpp50,SNta25,59,52,10535,112,1
SNpp45,SNpp51,64,47,10535,112,1
"SNta04,SNta11",SNta20,29,82,10535,112,1
JO-EV5,JO-ED2_a,54,56,10536,111,1
SNpp45,SNta28,64,46,10536,111,1
BM_InOm,claw_tpGRN,72,37,10537,110,1
BM_Taste,GNG642,92,16,10538,109,1
WG3,SNpp30,33,75,10538,109,1
WG4,SNpp52,23,85,10538,109,1
BM,WG4,84,23,10539,108,1
SNch01,SNxx03,56,51,10539,108,1
SNpp30,SApp14,75,32,10539,108,1
SNpp30,SNpp07,75,32,10539,108,1
SNch01,SNxx04,56,50,10540,107,1
BM_InOm,BM_Vib,72,34,10540,107,1
SApp19,SApp04,50,56,10540,107,1
WG2,SNpp52,20,85,10541,106,1
BM,BM_vOcci_vPoOr,84,20,10542,105,1
SAxx02,SNta30,51,53,10542,105,1
BM_Taste,LB1a,92,11,10543,104,1
JO-ED2_b,JO-ED2_c,64,39,10543,104,1
BM_Taste,LN-DN1,92,10,10544,103,1
SNpp52,SNpp17,85,17,10544,103,1
SNxx30,SNta20,20,82,10544,103,1
BM,SNpp17,84,17,10545,102,1
BM_InOm,"SNta04,SNta11",72,29,10545,102,1
SNxx04,SNxx03,50,51,10545,102,1
SNpp30,SNpp10,75,26,10545,102,1
BM_InOm,SNta14,72,28,10546,101,1
SApp19,SNta04,50,50,10546,101,1
BM_InOm,LB3d,72,27,10547,100,1
BM_InOm,SNta33,72,27,10547,100,1
LgAG1,SNta30,44,53,10549,98,1
SNpp30,SNpp62,75,22,10549,98,1
SNpp40,SNpp02,72,24,10550,97,1
BM_InOm,WG4,72,23,10551,96,1
LgLG1a,SNta30,41,53,10552,95,1
SNpp30,SNta13,75,19,10552,95,1
SNta04,"SNta02,SNta09",50,43,10553,94,1
LgLG1b,SNta30,39,53,10554,93,1
"SNta11,SNta14","SNta02,SNta09",49,43,10554,93,1
SNxx15,SNxx03,40,51,10555,92,1
LgAG1,SNta28,44,46,10556,91,1
LgLG1b,SAxx02,39,51,10556,91,1
SNxx15,SNxx04,40,50,10556,91,1
SNta11,"SNta02,SNta09",47,43,10556,91,1
SNpp39,SNta31,56,33,10557,90,1
SNpp30,SNpp56,75,14,10557,90,1
BM_InOm,GNG642,72,16,10558,89,1
SApp04,SNpp07,56,32,10558,89,1
LgLG1a,SNta28,41,46,10559,88,1
SNxx03,SNxx14,51,36,10559,88,1
SNpp50,SNta26,59,28,10559,88,1
SApp04,SApp13,56,31,10559,88,1
TPMN1,aPhM2a,40,46,10560,87,1
LgLG1a,LgAG1,41,44,10561,86,1
SApp19,"SApp11,SApp18",50,35,10561,86,1
"SApp11,SApp18",SNta04,35,50,10561,86,1
SNxx04,BM_Vib,50,34,10562,85,1
JO-FV,GNG643,55,27,10564,83,1
JO-A2,JO-mz,36,46,10564,83,1
BM_InOm,LN-DN1,72,10,10564,83,1
SApp19,SApp14,50,32,10564,83,1
SApp19,SNpp07,50,32,10564,83,1
SNta04,SApp14,50,32,10564,83,1
SNta04,SNpp07,50,32,10564,83,1
SNpp45,DNx01,64,18,10564,83,1
SApp19,SApp13,50,31,10565,82,1
SNta25,SNta26,52,28,10566,81,1
SApp19,"SNta04,SNta11",50,29,10567,80,1
SNpp50,SNxx30,59,20,10567,80,1
aPhM3,aPhM2a,32,46,10568,79,1
SNch01,SNxx21,56,22,10568,79,1
SNta14,SNta04,28,50,10568,79,1
JO-FV,BM_Vt_PoOc,55,22,10569,78,1
SNta14,"SNta11,SNta14",28,49,10569,78,1
SApp19,SNta33,50,27,10569,78,1
"SNta11,SNta14",SNta33,49,27,10570,77,1
SNta14,SNta11,28,47,10571,76,1
SNta11,SNta33,47,27,10572,75,1
LgAG1,LB1c,44,29,10573,74,1
WG4,SNta04,23,50,10573,74,1
SNxx03,SNxx21,51,22,10573,74,1
LgAG1,SNta26,44,28,10574,73,1
SNxx04,SNxx21,50,22,10574,73,1
WG4,"SNta11,SNta14",23,49,10574,73,1
"SNta02,SNta09","SNta04,SNta11",43,29,10574,73,1
SNta14,"SNta02,SNta09",28,43,10575,72,1
claw_tpGRN,BM_Vib,37,34,10575,72,1
WG4,SNta11,23,47,10576,71,1
WG2,SNta04,20,50,10576,71,1
SApp04,SNpp06,56,14,10576,71,1
"SNta02,SNta09",SNta33,43,27,10576,71,1
LgLG1a,SNta26,41,28,10577,70,1
SNch01,SNxx06,56,13,10577,70,1
"SNta11,SNta14",WG2,49,20,10577,70,1
SNpp35,SNta04,19,50,10577,70,1
"SNta11,SNta14",DNx01,49,18,10579,68,1
WG2,SNta11,20,47,10579,68,1
SApp04,SNpp21,56,11,10579,68,1
WG4,"SNta02,SNta09",23,43,10580,67,1
"SNta11,SNta14",SNpp17,49,17,10580,67,1
SNpp10,SNpp33,26,39,10581,66,1
LgAG1,LgAG3,44,20,10582,65,1
GNG643,claw_tpGRN,27,37,10582,65,1
aPhM2a,aPhM2b,46,18,10582,65,1
claw_tpGRN,LB3d,37,27,10582,65,1
claw_tpGRN,BM_Hau,37,27,10582,65,1
SNxx03,SNxx06,51,13,10582,65,1
"SApp11,SApp18","SNta04,SNta11",35,29,10582,65,1
SNxx04,SNxx06,50,13,10583,64,1
SNpp43,SNpp58,41,22,10583,64,1
SNpp07,SApp13,32,31,10583,64,1
HRN_VP4,HRN_VP1d,31,31,10584,63,1
SNxx15,SNxx19,40,22,10584,63,1
SNxx15,SNxx21,40,22,10584,63,1
"SApp11,SApp18",SNta33,35,27,10584,63,1
GNG643,BM_Vib,27,34,10585,62,1
LB3d,BM_Vib,27,34,10585,62,1
BM_Hau,BM_Vib,27,34,10585,62,1
ORN_DP1m,ORN_DM1,35,26,10585,62,1
"SApp11,SApp18",SApp01,35,26,10585,62,1
SApp14,"SNta04,SNta11",32,29,10585,62,1
SNpp07,"SNta04,SNta11",32,29,10585,62,1
"SNta02,SNta09",DNx01,43,18,10585,62,1
LgAG1,PhG10,44,16,10586,61,1
ORN_DP1m,ORN_VA2,35,25,10586,61,1
LgAG1,LgAG9,44,15,10587,60,1
LgAG1,LB1b,44,15,10587,60,1
LgAG1,PhG8,44,15,10587,60,1
SApp14,SNta33,32,27,10587,60,1
SNpp07,SNta33,32,27,10587,60,1
LgAG1,PhG14,44,14,10588,59,1
SApp01,SApp14,26,32,10588,59,1
LgAG1,LgAG8,44,13,10589,58,1
aPhM2a,LB1a,46,11,10589,58,1
SNta14,"SNta04,SNta11",28,29,10589,58,1
SNpp33,DNx01,39,18,10589,58,1
SNpp33,SNpp17,39,17,10590,57,1
SNta14,SNta33,28,27,10591,56,1
GNG643,LB3d,27,27,10592,55,1
GNG643,BM_Hau,27,27,10592,55,1
LB3d,BM_Hau,27,27,10592,55,1
PhG1c,PhG1b,34,20,10592,55,1
LgAG1,LgAG6,44,9,10593,54,1
SNxx15,SNxx06,40,13,10593,54,1
claw_tpGRN,dorsal_tpGRN,37,16,10593,54,1
"SNpp29,SNpp63",SNpp02,29,24,10593,54,1
SNpp33,SNpp06,39,14,10593,54,1
WG4,"SNta04,SNta11",23,29,10594,53,1
TPMN1,LB1a,40,11,10595,52,1
SNta14,WG4,28,23,10595,52,1
claw_tpGRN,PhG4,37,14,10595,52,1
claw_tpGRN,BM_MaPa,37,14,10595,52,1
ORN_DM1,ORN_VA2,26,25,10595,52,1
SApp23,SNpp02,27,24,10595,52,1
aPhM3,aPhM2b,32,18,10596,51,1
WG4,SNta33,23,27,10596,51,1
GNG643,BM_Vt_PoOc,27,22,10597,50,1
LB1c,LgAG3,29,20,10597,50,1
WG2,"SNta04,SNta11",20,29,10597,50,1
BM_Vib,BM_MaPa,34,14,10598,49,1
LB1c,LgAG5,29,19,10598,49,1
SNpp35,"SNta04,SNta11",19,29,10598,49,1
"SNpp29,SNpp63",SNta13,29,19,10598,49,1
BM_Hau,BM_vOcci_vPoOr,27,20,10599,48,1
SNpp35,SNta33,19,27,10600,47,1
"SNpp29,SNpp63",SNpp01,29,17,10600,47,1
LB1c,PhG10,29,16,10601,46,1
LB1c,ENS5,29,16,10601,46,1
LB1c,LgAG9,29,15,10602,45,1
ORN_VA6,ORN_VM5d,28,16,10602,45,1
BM_Hau,GNG642,27,16,10603,44,1
LB1c,PhG14,29,14,10603,44,1
PhG1c,PhG3,34,9,10603,44,1
SNpp10,SNpp17,26,17,10603,44,1
PhG9,LgAG3,22,20,10604,43,1
LB1c,LgAG8,29,13,10604,43,1
PhG1c,PhG1a,34,8,10604,43,1
"SNpp29,SNpp63",SNpp18,29,13,10604,43,1
GNG643,BM_MaPa,27,14,10605,42,1
LB3d,BM_MaPa,27,14,10605,42,1
ORN_VA6,ORN_DA2,28,13,10605,42,1
WG4,SNpp17,23,17,10606,41,1
ORN_VA6,ORN_DC2,28,12,10606,41,1
ORN_VA6,ORN_VM7v,28,11,10607,40,1
LB1c,LgAG6,29,9,10608,39,1
PhG9,PhG8,22,15,10609,38,1
BM_Hau,LN-DN1,27,10,10609,38,1
PhG9,PhG14,22,14,10610,37,1
GNG642,BM_vOcci_vPoOr,16,20,10610,37,1
LgAG3,PhG10,20,16,10610,37,1
LgAG9,LgAG3,15,20,10611,36,1
LgAG3,LB1b,20,15,10611,36,1
LgAG5,ENS5,19,16,10611,36,1
LgAG7,dorsal_tpGRN,19,16,10611,36,1
SNxx06,SNxx21,13,22,10611,36,1
LgAG5,LB1b,19,15,10612,35,1
LgAG5,PhG8,19,15,10612,35,1
BM_vOcci_vPoOr,BM_MaPa,20,14,10612,35,1
LgAG3,LgAG8,20,13,10613,34,1
LgAG7,PhG4,19,14,10613,34,1
SNpp06,SNta13,14,19,10613,34,1
LgAG9,PhG10,15,16,10615,32,1
PhG10,LB1b,16,15,10615,32,1
PhG10,PhG8,16,15,10615,32,1
LB1b,ENS5,15,16,10615,32,1
SNpp06,SNxx28,14,17,10615,32,1
ENS5,PhG8,16,15,10615,32,1
GNG642,BM_MaPa,16,14,10616,31,1
LgAG9,LB1b,15,15,10616,31,1
LgAG9,PhG8,15,15,10616,31,1
PhG10,PhG14,16,14,10616,31,1
BM_vOcci_vPoOr,LN-DN1,20,10,10616,31,1
LgAG9,PhG14,15,14,10617,30,1
LgAG3,LgAG6,20,9,10617,30,1
PhG1b,PhG3,20,9,10617,30,1
PhG10,LgAG8,16,13,10617,30,1
LB1b,PhG14,15,14,10617,30,1
ORN_VM5d,ORN_DA2,16,13,10617,30,1
LgAG9,LgAG8,15,13,10618,29,1
PhG1b,PhG1a,20,8,10618,29,1
LB1b,LgAG8,15,13,10618,29,1
ORN_VM5d,ORN_DC2,16,12,10618,29,1
LgAG8,PhG8,13,15,10618,29,1
PhG13,PhG8,12,15,10619,28,1
ORN_VM7v,ORN_VM5d,11,16,10619,28,1
PhG14,LgAG8,14,13,10619,28,1
GNG642,LN-DN1,16,10,10620,27,1
PhG6,dorsal_tpGRN,10,16,10620,27,1
PhG13,PhG14,12,14,10620,27,1
PhG10,LgAG6,16,9,10621,26,1
ORN_DC2,ORN_DA2,12,13,10621,26,1
LgAG6,dorsal_tpGRN,9,16,10621,26,1
LgAG9,LgAG6,15,9,10622,25,1
PhG6,PhG4,10,14,10622,25,1
LB1b,LgAG6,15,9,10622,25,1
ORN_VM7v,ORN_DA2,11,13,10622,25,1
LN-DN1,BM_MaPa,10,14,10622,25,1
LgAG6,PhG8,9,15,10622,25,1
dorsal_tpGRN,PhG1a,16,8,10622,25,1
ORN_VM7v,ORN_DC2,11,12,10623,24,1
PhG4,LgAG6,14,9,10623,24,1
PhG14,LgAG6,14,9,10623,24,1
PhG4,PhG1a,14,8,10624,23,1
LgAG8,LgAG6,13,9,10624,23,1
PhG3,PhG1a,9,8,10629,18,1
SApp,SNppxx,310,216,10121,526,0
SApp,SNta29,310,155,10182,465,0
SApp,SNxx33,310,116,10221,426,0
SApp,SNta37,310,107,10230,417,0
SApp,SNta21,310,103,10234,413,0
SApp,BM_Taste,310,92,10245,402,0
SApp,JO-EV3,310,91,10246,401,0
SApp,SNta38,310,85,10252,395,0
